year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00:00
2015,Argenton 132_11kV,11-May-14,MW,11.67568,10.74657,10.43142,11.59901,10.73041,9.87713,9.24473,8.77835,8.9522,8.85931,8.52208,8.31371,8.18417,8.17065,8.12302,7.87421,7.93542,7.87058,8.0417,7.93484,8.05634,8.15165,8.27408,8.47912,8.64075,8.76159,9.09843,9.38119,9.78775,10.23547,10.70545,11.15406,11.94896,12.386,12.87298,13.20969,13.2907,13.07974,12.89595,12.89655,12.84346,12.83185,12.63758,12.30202,12.06282,11.87784,11.76289,11.55361,11.67915,11.29751,10.90807,10.75516,11.02852,11.06154,10.98242,11.28404,11.73333,12.02361,11.86559,11.62439,11.68118,11.78109,11.64932,11.7734,11.99325,12.12092,12.41064,12.50093,12.94375,13.86215,14.33856,14.02463,14.03255,13.92248,13.82253,13.39458,13.07854,13.16474,12.85539,12.41012,12.20644,12.17839,12.15163,11.81941,11.7112,11.36424,13.76657,13.11437,12.67251,12.12217,12.50794,12.12867,13.44667,13.00464,11.91338,11.88485
2015,Argenton 132_11kV,12-May-14,MW,12.42847,11.76155,11.38733,12.52598,11.95286,10.94292,10.50356,10.73128,10.24088,9.89339,9.57034,9.53923,9.39526,9.26784,9.27537,8.70805,9.27512,9.36985,9.4263,9.74445,10.63801,10.93007,11.87772,13.02715,13.8863,14.67369,15.5687,16.23406,16.67507,17.3139,17.69503,17.96329,17.79934,17.69645,17.69606,17.57816,16.8876,16.9444,17.24247,17.4307,17.35136,16.88942,16.97162,17.06331,17.46275,17.62935,17.17574,16.96707,17.5936,17.84862,17.48972,17.49829,17.50064,17.11177,16.82654,16.85986,16.78721,16.54804,16.13838,16.32602,16.5749,16.33621,16.40753,15.79861,16.46178,16.56922,16.77228,17.05082,17.32279,18.50631,19.24366,18.63177,18.15307,17.81372,17.74612,17.47641,16.90099,16.68853,16.18518,15.6431,15.50122,14.54609,14.44448,14.10849,13.65819,13.05063,13.79394,13.58944,15.71289,15.27535,14.70764,13.93737,14.74547,13.99941,14.50675,14.66403
2015,Argenton 132_11kV,13-May-14,MW,15.47914,14.80196,13.85803,15.08152,14.52828,13.44273,12.65755,13.15744,12.44274,11.74284,11.1331,10.8071,10.47676,10.14291,9.92354,9.98134,9.85942,9.81699,10.10566,10.46806,10.88506,11.3367,11.85197,12.95318,13.92235,14.9147,15.60897,16.40795,16.61208,16.93104,17.47239,18.31365,18.73542,18.44512,17.70875,18.25755,18.22334,18.02275,18.11515,17.85273,17.37421,17.46756,17.59825,17.23171,17.31411,17.19223,17.24976,17.40377,17.40675,17.32852,17.35414,17.02701,17.30187,17.24237,17.13606,17.2923,17.28364,17.16207,16.72132,16.93671,17.11102,16.82483,16.24187,16.34641,16.67634,16.56357,16.72696,17.25785,17.38264,18.17516,18.42172,18.11882,17.81196,17.24797,16.99633,17.05899,16.59487,16.29932,16.01971,15.65006,15.13689,14.92047,14.66715,14.47311,13.81674,13.8011,14.25435,13.8829,16.12959,15.55432,14.627,13.95576,15.03606,14.42349,14.52593,14.93556
2015,Argenton 132_11kV,14-May-14,MW,15.60714,14.86544,14.39802,14.70671,14.32889,13.40796,12.75935,13.31966,12.5732,11.75416,11.02258,10.83507,10.62644,10.09485,9.83255,9.70492,9.72667,9.47251,10.38041,10.82834,11.24968,11.57842,12.18858,13.45626,14.45177,15.42907,16.1586,16.81197,17.44654,18.18204,18.51816,18.68491,18.79453,18.87316,18.52479,18.2724,17.81863,17.90108,17.65743,17.84467,17.5836,17.75193,17.55825,17.6155,17.55919,17.27582,17.16708,16.92744,16.94093,16.9503,16.80419,16.77983,17.28875,16.76821,16.88079,17.04266,17.09832,17.09974,16.93923,16.85671,16.99713,16.53778,16.2323,16.22677,16.28723,16.33676,16.50242,17.0112,16.98176,18.30681,18.66969,18.27972,18.07922,17.81928,17.69391,17.43105,16.50511,16.82069,16.18253,16.10778,15.85461,15.34588,15.18573,14.85092,14.24224,14.12304,14.53247,14.31834,16.40312,15.96889,15.34996,14.72274,15.68251,14.98964,15.14346,15.40363
2015,Argenton 132_11kV,15-May-14,MW,15.77817,15.25296,14.73769,15.40281,14.85973,13.46865,12.91505,13.40041,13.15969,12.47106,11.78962,11.3729,10.69142,10.41668,10.19437,9.87333,10.00234,10.0811,10.5498,11.04542,11.70723,11.88408,12.54279,13.43893,14.68741,15.54915,16.74271,17.23858,18.09478,18.68204,19.27176,19.32642,19.39002,18.70899,18.86885,18.86447,18.61349,18.27025,18.06368,18.20868,18.03027,17.56251,17.61884,17.80002,17.03022,17.03992,16.99813,17.01689,16.90393,16.64166,16.57094,16.54891,16.5755,16.5209,16.82576,16.3886,16.53827,16.63286,16.71863,16.7245,16.4739,16.3873,16.4593,16.50435,16.56692,16.29172,16.34286,17.07142,17.33794,17.91662,18.34802,18.31402,18.31285,17.99338,17.7806,17.63245,17.46307,17.65556,17.08325,16.7638,16.72802,16.43139,16.09342,15.72474,15.13113,14.60918,14.94115,14.57984,16.52301,15.90447,15.24209,14.78525,15.64563,14.87928,14.88703,15.05221
2015,Argenton 132_11kV,16-May-14,MW,15.34633,14.57104,14.37675,15.00238,14.75068,14.13495,13.387,13.86915,12.88188,12.27226,11.80039,11.16451,10.73302,10.41337,10.18352,10.05183,9.96141,9.9052,10.17001,10.38183,11.09315,11.64756,12.67232,13.54288,14.71509,15.68773,16.89967,17.58767,17.95617,18.19341,19.16113,18.99222,19.01741,18.66928,18.32248,17.9644,17.70534,17.39534,17.52733,17.26707,17.12536,16.64737,16.65638,16.82286,16.42616,16.77985,16.65083,16.7073,16.23603,15.80454,15.57141,15.53966,15.67678,15.5385,15.59831,15.45319,15.3965,14.84946,14.66225,14.57063,14.52856,14.49377,14.31713,14.38894,14.29021,14.33697,14.72622,15.01622,15.06642,15.93787,16.36911,15.99844,15.90858,15.68645,15.34243,15.1018,14.64198,14.7213,14.43782,14.29785,14.01071,13.79274,13.42742,13.17427,13.05385,12.85517,13.23052,13.03141,15.11917,14.61598,14.00574,13.2905,14.14036,13.51833,13.7856,14.26613
2015,Argenton 132_11kV,17-May-14,MW,14.56328,14.07838,13.57563,14.00485,13.62389,12.62482,11.77758,11.10388,11.43547,11.40166,10.69544,10.30245,9.71694,9.37819,9.01586,8.90211,8.89225,8.80253,8.8285,8.82495,9.06479,9.10309,9.32202,9.76896,10.40311,10.55297,10.99763,11.56112,12.50826,13.00623,13.67287,14.41467,14.48182,14.79109,15.01843,14.85611,14.82834,14.48143,14.17318,14.01514,13.79127,13.50795,13.178,12.99355,12.74313,12.62894,12.57243,12.30663,12.08783,11.80258,11.7503,11.98631,11.69694,11.49177,11.40439,11.28228,11.36018,11.26958,11.15667,11.3605,11.42633,11.59647,11.3967,11.66802,12.18825,12.64122,12.95457,12.66955,13.28788,14.33917,14.5719,14.33884,14.24736,14.04819,13.67124,13.47529,13.19927,13.29291,12.94568,12.5979,12.3327,12.17741,12.06643,11.79439,11.67476,11.42961,13.59227,12.85754,12.36802,11.86882,12.06612,11.53339,13.03226,12.76139,11.69548,11.45272
2015,Argenton 132_11kV,18-May-14,MW,12.14299,11.20047,10.8287,12.04786,11.20895,10.19477,9.56691,9.2072,9.43014,9.27072,8.84904,8.65965,8.51803,8.38461,8.42364,8.4339,8.3377,8.23395,8.32581,8.44502,8.67424,8.67648,8.77368,8.85675,9.22941,9.38962,9.50612,9.8136,10.25178,10.57694,11.09911,11.56082,11.97937,12.36022,12.61176,12.8046,13.17571,13.02925,13.07652,13.08087,12.94273,13.03569,12.74793,12.47691,12.26886,12.3511,12.31015,12.10682,12.19965,11.87734,11.91511,11.86371,11.83528,11.53983,11.38556,11.41061,11.73855,11.59737,11.4621,11.67758,11.89519,12.13431,12.07783,12.12544,12.3262,12.5804,13.11989,12.92426,13.67715,14.80801,15.44933,15.23231,15.1749,14.96406,14.63223,14.23141,13.88384,13.86946,13.61211,13.2522,13.10992,13.0165,12.84897,12.57695,12.44557,12.12241,14.5448,13.87918,13.37984,12.7844,12.95355,12.48139,14.11463,13.52914,12.70589,12.59537
2015,Argenton 132_11kV,19-May-14,MW,13.08122,12.31225,11.6664,13.01183,12.21564,11.33916,10.50131,10.50142,10.39201,10.1097,9.67186,9.66935,9.82746,9.66737,9.45052,9.54053,9.73217,9.52361,10.1731,10.51701,10.85754,11.37641,11.75387,12.88447,14.06497,14.86577,15.80835,16.23477,16.90392,17.67824,17.87103,18.25756,18.5368,18.17814,18.60753,18.27356,17.96559,17.88761,17.94776,17.10697,17.21245,17.00159,17.06247,16.70136,16.7517,17.11179,16.90077,16.97814,16.93761,16.67598,16.64187,16.97962,16.98964,17.15917,17.02959,16.74458,16.61322,16.06334,16.65101,16.90468,16.73966,16.31076,16.08003,16.60835,16.45502,16.15173,16.78482,16.83183,17.18886,18.24722,18.39253,17.57475,17.2973,16.97864,16.4418,16.25727,15.92545,15.98458,15.5798,15.10785,14.60269,14.18837,14.02039,13.91281,13.49403,13.31452,13.79737,13.63056,15.75489,15.23644,14.57627,13.79981,14.90409,14.38171,14.63679,14.75438
2015,Argenton 132_11kV,20-May-14,MW,15.41744,14.85757,14.09572,14.92336,14.38926,13.63192,12.63669,12.84824,12.51914,12.00904,11.28195,10.68797,10.49867,10.0895,9.68065,9.44139,9.19922,9.94909,10.02686,10.22345,11.01495,11.12575,11.8774,13.20328,14.0657,14.67438,15.84242,16.16363,16.73158,17.34718,17.73837,18.05703,17.85905,17.41726,17.94545,17.73186,17.53454,17.35637,17.23089,17.36132,17.03924,17.22315,17.31342,17.16483,17.08765,17.0345,17.53457,17.2262,16.98449,17.12896,17.23781,17.53106,17.59409,17.63116,17.51807,17.47024,17.21641,17.28414,17.13477,16.91923,16.8364,16.53101,16.30967,16.09983,16.2643,16.29737,17.14876,17.47042,17.45732,18.54984,18.54409,17.81912,17.62068,17.2876,17.25047,16.89754,16.47584,16.29017,15.84213,15.21224,15.20524,14.90749,14.59033,14.29094,13.86167,13.76992,14.02917,13.35755,15.72778,15.2922,14.67596,13.90236,14.72682,14.11224,14.2893,14.68976
